track_name,album_name,energy,valence,reading_grade,syllable_density,lexical_diversity,bridge_shift,thematic_dna,energy_is_predicted,valence_is_predicted,cluster_id,umap_x,umap_y,top_driver,archetype_name,archetype_desc,symbol,data_type
Tim McGraw,Taylor Swift,0.491,0.425,0.5298360655737717,1.1420765027322404,0.3333333333333333,0.1779,"hope, blue, chest, faded, jeans",False,False,0.0,-0.90173393,5.977332,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",diamond-wide,ACTUAL
Picture To Burn,Taylor Swift,0.877,0.821,3.0835857329067444,1.2508591065292096,0.3780068728522336,-0.9552,"pickup, redneck, wasted, truck, lyin",False,False,2.0,4.5410037,7.0542707,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond-wide,ACTUAL
Teardrops On My Guitar,Taylor Swift,0.417,0.289,1.0256388888888883,1.1701388888888888,0.4513888888888889,-1.2090999999999998,"drew, wishing, singing, reason, star",False,False,1.0,0.19331059,5.157587,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide,ACTUAL
A Place In This World,Taylor Swift,0.777,0.428,1.0361111111111114,1.125,0.3534482758620689,-0.2912,"strong, just, wrong, mystery, sleeve",False,False,3.0,0.8969413,9.073766,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Cold As You,Taylor Swift,0.482,0.261,2.2396234817813756,1.2388663967611335,0.4170040485829959,-1.9162,"rainy, given, sitting, shame, ending",False,False,1.0,3.220592,5.934939,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide,ACTUAL
The Outside,Taylor Swift,0.805,0.591,1.6752384891094572,1.2136752136752136,0.3888888888888889,0.0,"lets, looking, view, lonely, lot",False,False,3.0,2.200862,8.46924,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Tied Together With A Smile,Taylor Swift,0.578,0.192,1.967057367829021,1.248031496062992,0.3464566929133858,-0.9498,"letting, undone, jumping, coming, losing",False,False,4.0,3.048106,6.06206,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond-wide,ACTUAL
Stay Beautiful,Taylor Swift,0.629,0.504,3.0028604557370464,1.3486590038314177,0.4482758620689655,-0.9415,"leads, piece, looked, ask, hope",False,False,2.0,4.711796,6.227366,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond-wide,ACTUAL
Should've Said No,Taylor Swift,0.777,0.472,1.148409090909091,1.1761363636363635,0.3096590909090909,-0.798,"shouldn, fore, begging, forgiveness, twice",False,False,3.0,0.010075078,7.9937034,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Mary's Song (Oh My My My),Taylor Swift,0.627,0.374,1.326675981873116,1.1601208459214505,0.4501510574018127,-0.5263,"mamas, smiled, eighty, rolled, shined",False,False,1.0,1.0071247,6.205202,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide,ACTUAL
Our Song,Taylor Swift,0.672,0.539,1.5126451983898832,1.1891891891891893,0.3783783783783784,0.7363999999999999,"late, tappin, amen, slammin, sneakin",False,False,3.0,1.5362412,8.518552,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
I'm Only Me When I'm With You,Taylor Swift,0.934,0.518,1.2841729323308293,1.1907894736842106,0.3453947368421052,0.443,"half, crazy, true, matter, tryin",False,False,3.0,1.6610433,9.166928,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Invisible,Taylor Swift,0.394,0.233,2.0931000000000033,1.292,0.324,0.6772,"unbelievable, miracle, just, light, instead",False,False,4.0,2.1598916,4.4073677,energy,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond-wide,ACTUAL
A Perfectly Good Heart,Taylor Swift,0.751,0.268,1.5702775441547523,1.2672413793103448,0.3103448275862069,0.0,"wanna, break, tear, scar, apart",False,False,3.0,2.2135193,6.977059,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Teardrops On My Guitar (Pop Version),Taylor Swift,0.753,0.483,1.0341915807560156,1.168384879725086,0.4536082474226804,-1.2090999999999998,"drew, wishing, singing, reason, star",False,False,3.0,-0.29390156,7.663465,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide,ACTUAL
Fearless,Fearless,0.714,0.467,1.227590233545648,1.1369426751592355,0.3598726114649681,0.2329,"drag, dance, storm, gets, head",False,False,3.0,1.0408262,9.330894,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Fifteen,Fearless,0.636,0.214,1.6396121453900712,1.1901041666666667,0.4557291666666667,-0.6922,"tells, gonna, somebody, breath, deep",False,False,1.0,1.4625106,6.070604,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond,ACTUAL
Love Story,Fearless,0.736,0.307,1.8098214285714285,1.2142857142857142,0.4021164021164021,0.1876,"romeo, juliet, yes, waiting, princess",False,False,3.0,2.1579185,6.612692,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Hey Stephen,Fearless,0.553,0.825,1.5582818347054437,1.1733668341708543,0.3467336683417085,-0.5203,"help, mmm, angel, feeling, magic",False,False,3.0,-0.7401795,8.736399,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
White Horse,Fearless,0.346,0.195,1.5784827166927222,1.1914191419141915,0.4224422442244224,-0.6978,"late, ain, whoa, princess, catch",False,False,1.0,0.8635119,4.6551166,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond,ACTUAL
You Belong With Me,Fearless,0.771,0.445,1.4206775304580257,1.1738035264483626,0.3702770780856423,-0.038,"understands, bout, captain, wears, cheer",False,False,3.0,1.2163322,9.245408,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Breathe,Fearless,0.486,0.17,2.095732780504317,1.220447284345048,0.3610223642172524,1.6512,"easy, save, simple, break, feeling",False,False,4.0,2.1738267,3.8950667,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond,ACTUAL
Tell Me Why,Fearless,0.852,0.513,0.8575893027698207,1.1375358166189111,0.318051575931232,1.3426,"sick, temper, tired, doing, yes",False,False,0.0,1.7081134,9.21987,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",diamond,ACTUAL
You're Not Sorry,Fearless,0.459,0.281,1.8872456532966095,1.2006369426751593,0.3630573248407643,-0.1132,"anymore, straw, believe, pick, phone",False,False,4.0,1.4885012,5.1778197,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond,ACTUAL
The Way I Loved You,Fearless,0.712,0.379,2.080062483728195,1.2574850299401197,0.3532934131736527,-1.8801,"roller, coaster, kissing, cursing, breaking",False,False,2.0,0.830654,7.044454,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond,ACTUAL
Forever & Always,Fearless,0.829,0.514,1.7280864197530867,1.219753086419753,0.2987654320987654,-1.1161,"rains, bedroom, feel, hasn, stare",False,False,3.0,0.24304704,8.0240965,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
The Best Day,Fearless,0.447,0.364,1.95730614973262,1.1448863636363635,0.4801136363636363,0.0401,"trees, set, going, far, drive",False,False,1.0,0.72478175,5.8334975,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),diamond,ACTUAL
Change,Fearless,0.756,0.224,2.497818718565494,1.271375464684015,0.4535315985130111,0.8806,"hallelujah, sing, revolution, fight, walls",False,False,2.0,3.3530865,5.190941,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond,ACTUAL
Jump Then Fall,Fearless,0.687,0.82,1.1915879265091895,1.188976377952756,0.3228346456692913,-1.1998,"shine, catch, gonna, woah, sound",False,False,3.0,-0.68906045,8.74099,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Untouchable,Fearless,0.454,0.288,2.124477216332057,1.1985111662531018,0.1960297766749379,0.0776,"spelling, million, middle, dream, stars",False,False,4.0,1.8457345,5.1612,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond,ACTUAL
Forever & Always (Piano Version),Fearless,0.16,0.294,1.7478571428571463,1.2214285714285715,0.2928571428571428,-0.8458,"rains, bedroom, feel, hasn, stare",False,False,4.0,1.3411356,4.6342397,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond,ACTUAL
Come In With The Rain,Fearless,0.475,0.224,0.6813231441048053,1.1266375545851528,0.3668122270742358,-1.2216,"hoping, open, tired, anymore, window",False,False,0.0,-0.63267887,5.3540535,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",diamond,ACTUAL
SuperStar,Fearless,0.531,0.228,2.236617647058825,1.2463235294117647,0.4044117647058823,-0.3036,"special, photograph, dim, desperately, spotlight",False,False,4.0,3.4729064,6.013933,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond,ACTUAL
The Other Side Of The Door,Fearless,0.816,0.469,1.7398207104557637,1.2117962466487937,0.4182305630026809,0.6375,"leave, pebbles, throwing, window, pouring",False,False,3.0,1.88217,8.722605,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond,ACTUAL
Fearless (Taylor's Version),Fearless (TV),0.741,0.43,1.319301075268818,1.1483870967741936,0.3677419354838709,0.2329,"headfirst, drag, dance, storm, gets",False,False,3.0,1.199061,9.34793,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
Fifteen (Taylor's Version),Fearless (TV),0.646,0.289,1.5755275974025975,1.1896103896103896,0.4545454545454545,-0.4204,"tells, gonna, somebody, deep, breath",False,False,1.0,1.3463136,6.1780906,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),cross,ACTUAL
Love Story (Taylor's Version),Fearless (TV),0.792,0.415,1.8098214285714285,1.2142857142857142,0.4021164021164021,0.1876,"romeo, juliet, yes, waiting, princess",False,False,3.0,1.9115995,8.429175,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
Hey Stephen (Taylor's Version),Fearless (TV),0.571,0.797,1.2566097087378658,1.1553398058252426,0.3422330097087379,-0.5709,"mmm, help, feelin, angel, magic",False,False,3.0,-0.7709199,8.728366,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
White Horse (Taylor's Version),Fearless (TV),0.517,0.366,1.5401315789473706,1.194078947368421,0.4210526315789473,-0.7673,"late, ain, princess, catch, stairwell",False,False,1.0,0.89645725,6.354872,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),cross,ACTUAL
You Belong With Me (Taylor's Version),Fearless (TV),0.773,0.474,1.5864690117252955,1.1633165829145728,0.3743718592964824,0.1896,"understands, wears, captain, bout, cheer",False,False,3.0,1.3661983,9.104206,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
Breathe (Taylor's Version),Fearless (TV),0.626,0.321,1.9503773584905664,1.2169811320754718,0.3616352201257861,1.4611999999999998,"easy, save, mmm, simple, break",False,False,4.0,2.3279226,3.6431937,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross,ACTUAL
Tell Me Why (Taylor's Version),Fearless (TV),0.909,0.541,0.8196781609195405,1.1350574712643675,0.3189655172413793,1.2789,"sick, temper, tired, doing, yes",False,False,3.0,1.6976165,9.2110615,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
You're Not Sorry (Taylor's Version),Fearless (TV),0.444,0.241,1.4737662337662378,1.1850649350649352,0.3571428571428571,0.5121,"anymore, straw, believe, pick, phone",False,False,4.0,1.4103442,4.281348,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross,ACTUAL
The Way I Loved You (Taylor's Version),Fearless (TV),0.732,0.472,1.3439910638811732,1.2071005917159765,0.3550295857988165,-1.7756,"breakin, rollercoaster, cursin, kissin, fightin",False,False,3.0,0.05200422,7.4995747,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
Forever & Always (Taylor's Version),Fearless (TV),0.821,0.673,1.9053732201927216,1.21760391198044,0.3031784841075794,-1.0908,"rains, everythin, bedroom, feel, hasn",False,False,3.0,-0.07645232,8.467746,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
The Best Day (Taylor's Version),Fearless (TV),0.576,0.469,2.1817426770485717,1.1350574712643675,0.4856321839080459,0.0389999999999999,"trees, set, far, drive, house",False,False,1.0,0.7883781,5.981353,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),cross,ACTUAL
Change (Taylor's Version),Fearless (TV),0.815,0.344,3.0787184873949585,1.2610294117647058,0.4852941176470588,0.6720999999999999,"hallelujah, sing, revolution, fight, walls",False,False,2.0,4.3455753,5.5959287,lexical_diversity,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",cross,ACTUAL
Jump Then Fall (Taylor's Version),Fearless (TV),0.69,0.624,1.131192553810358,1.1832460732984291,0.3246073298429319,-1.1979,"shine, catch, gonna, woah, sound",False,False,3.0,-0.7425041,7.763564,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
Untouchable (Taylor's Version),Fearless (TV),0.531,0.224,1.7760606060606072,1.1742424242424243,0.1944444444444444,-0.5994,"spellin, gotta, million, middle, dream",False,False,0.0,1.5906126,5.141818,lexical_diversity,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross,ACTUAL
Forever & Always (Piano Version) [Taylor's Version],Fearless (TV),0.273,0.271,1.7956513062409307,1.2139423076923077,0.3052884615384615,-0.8458,"rains, everythin, bedroom, feel, hasn",False,False,4.0,1.4113798,4.648844,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross,ACTUAL
Come In With The Rain (Taylor's Version),Fearless (TV),0.564,0.167,0.4307057332018615,1.1135371179039302,0.37117903930131,-1.2216,"hopin, open, tired, anymore, window",False,False,0.0,-0.69857085,5.4238324,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross,ACTUAL
SuperStar (Taylor's Version),Fearless (TV),0.555,0.171,1.6469785575048732,1.225925925925926,0.4148148148148148,1.1063999999999998,"special, photograph, desperately, dim, spotlight",False,False,4.0,2.3037,4.014924,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross,ACTUAL
The Other Side Of The Door (Taylor's Version),Fearless (TV),0.873,0.629,1.2695539879394708,1.1657754010695187,0.4144385026737968,0.6504,"pourin, leave, pebbles, throwin, window",False,False,3.0,1.5996382,9.013044,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
Today Was A Fairytale (Taylor's Version),Fearless (TV),0.779,0.328,1.4043281653746789,1.2296511627906976,0.2790697674418604,-0.3745,"kissed, slows, magic, standing, air",False,False,3.0,2.0025382,7.236467,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
You All Over Me (Taylor's Version) [From The Vault],Fearless (TV),0.494,0.44,0.7106484641638247,1.1331058020477816,0.4402730375426621,-0.9455,"held, reminds, freedom, got, learned",False,False,1.0,-0.12200729,5.6421795,energy,Fountain Pen,Modern Confessional (Specific Storytelling),cross,ACTUAL
Mr. Perfectly Fine (Taylor's Version) [From The Vault],Fearless (TV),0.817,0.714,3.599423186750432,1.3592233009708738,0.4174757281553398,1.3763,"hello, revolves, misery, casually, goodbye",False,False,2.0,3.7672184,7.6833515,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",cross,ACTUAL
We Were Happy (Taylor's Version) [From The Vault],Fearless (TV),0.373,0.13,0.6539861751152074,1.1814516129032258,0.3991935483870967,-1.6589999999999998,"farm, laughed, talkin, showed, bout",False,False,1.0,-0.12359343,5.0859447,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),cross,ACTUAL
That's When (Taylor's Version) [From The Vault],Fearless (TV),0.608,0.508,-0.1698184035777181,1.085987261146497,0.3089171974522293,1.2552,"stormin, sunny, gate, cryin, laughin",False,False,0.0,-2.0643091,6.183024,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross,ACTUAL
Don't You (Taylor's Version) [From The Vault],Fearless (TV),0.473,0.405,0.2137844611528834,1.0701754385964912,0.3991228070175439,0.1588999999999999,"missed, ask, feel, stare, swore",False,False,0.0,-0.6916891,5.8137975,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",cross,ACTUAL
Bye Bye Baby (Taylor's Version) [From The Vault],Fearless (TV),0.624,0.527,1.2468066083576268,1.1749271137026238,0.314868804664723,-1.5652,"sympathy, thought, took, couldn, just",False,False,3.0,-0.79275143,7.406593,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross,ACTUAL
Mine,Speak Now,0.757,0.658,2.0827868168544015,1.21078431372549,0.3970588235294117,0.2764999999999999,"yes, careful, careless, rebel, hold",False,False,3.0,2.3046563,8.3923235,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
Sparks Fly,Speak Now,0.787,0.374,2.3914063992359154,1.2034383954154728,0.3724928366762177,-0.305,"sidewalk, haunt, pouring, drop, green",False,False,3.0,2.5766246,6.949163,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
Back To December,Speak Now,0.67,0.286,1.8271056603773592,1.195754716981132,0.3514150943396226,-0.0359,"realized, swallowing, wishin, missin, freedom",False,False,3.0,2.213527,6.7582655,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
Dear John,Speak Now,0.47,0.102,0.8027659574468089,1.13031914893617,0.449468085106383,-0.4491,"young, messed, known, cried, gone",False,False,1.0,-0.14480498,5.003877,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),hexagon,ACTUAL
Mean,Speak Now,0.761,0.789,1.5944863315696658,1.217283950617284,0.3333333333333333,0.0491,"big, someday, gotta, ole, livin",False,False,3.0,-0.33235794,8.911105,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
The Story Of Us,Speak Now,0.818,0.683,1.3179778270509992,1.1618625277161865,0.352549889135255,0.1593,"killin, speakin, dyin, twist, tragedy",False,False,3.0,0.15962505,8.953898,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
Never Grow Up,Speak Now,0.305,0.554,1.9131171171171175,1.2387387387387387,0.3558558558558558,0.6395,"darling, grown, simple, just, tuck",False,False,4.0,3.3063421,4.2603483,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon,ACTUAL
Enchanted,Speak Now,0.623,0.208,2.219189081929624,1.2864450127877238,0.3708439897698209,-0.2374999999999999,"meet, wonderstruck, wonderin, spend, blushin",False,False,2.0,3.4401886,5.943626,syllable_density,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",hexagon,ACTUAL
Better Than Revenge,Speak Now,0.917,0.635,2.3686356668369974,1.2233009708737863,0.3514563106796116,0.0952,"woah, stealing, mattress, applause, playground",False,False,3.0,2.4424877,8.331247,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
Innocent,Speak Now,0.608,0.17,1.819469431726368,1.2531645569620251,0.4082278481012658,0.5664,"wasn, alright, bright, balance, thirty",False,False,4.0,2.6515758,4.940308,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon,ACTUAL
Haunted,Speak Now,0.95,0.352,0.7978187796857874,1.1801242236024845,0.3322981366459627,0.7263000000000001,"figured, thought, gone, terribly, leave",False,False,3.0,1.5925858,9.344524,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
Last Kiss,Speak Now,0.341,0.196,1.3596551724137953,1.1625615763546795,0.3669950738916256,-0.0914999999999999,"lips, imagined, wearing, sit, clothes",False,False,4.0,0.94239676,4.214881,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon,ACTUAL
Long Live,Speak Now,0.68,0.142,1.1246218272255142,1.18140589569161,0.3786848072562358,1.6073,"pretenders, bring, crashed, screaming, remembered",False,False,4.0,1.9833055,3.3576393,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),hexagon,ACTUAL
Ours,Speak Now,0.569,0.238,1.447046979865771,1.191275167785235,0.4463087248322148,0.0524999999999999,"worry, rocks, throw, stakes, rough",False,False,1.0,1.4746422,5.9962506,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),hexagon,ACTUAL
If This Was A Movie,Speak Now,0.719,0.289,1.2649243321489685,1.138702460850112,0.319910514541387,-0.1926,"work, stand, came, til, ending",False,False,0.0,0.8218156,8.910191,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",hexagon,ACTUAL
Superman,Speak Now,0.765,0.559,1.5751179883945845,1.2287234042553192,0.3430851063829787,-0.0698,"save, watch, away, forget, someday",False,False,3.0,2.2659261,8.218179,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",hexagon,ACTUAL
State Of Grace,Red,0.825,0.397,1.2298918621700885,1.1906158357771262,0.3519061583577713,0.7061999999999999,"coming, saw, worthwhile, mosaic, ruthless",False,False,3.0,1.6015044,9.33209,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down,ACTUAL
Red,Red,0.896,0.641,3.389304347826087,1.3043478260869563,0.4037267080745341,-0.9881,"loving, burning, forgetting, missing, losing",False,False,2.0,4.7513185,6.742595,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",triangle-down,ACTUAL
Treacherous,Red,0.621,0.395,0.9998375812093948,1.2183908045977012,0.3831417624521073,-1.0604,"follow, slope, echoed, path, sleepless",False,False,3.0,0.15073246,7.07377,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down,ACTUAL
I Knew You Were Trouble,Red,0.469,0.679,1.3250908521303266,1.1979949874686715,0.2832080200501253,-0.6716,"walked, flew, shame, ing, drowning",False,False,3.0,-0.8446845,8.321492,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",triangle-down,ACTUAL
All Too Well,Red,0.609,0.337,1.9038370118845511,1.2129032258064516,0.4279569892473118,-0.0987,"remember, bout, scarf, cause, maybe",False,False,1.0,1.7328694,6.211879,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),triangle-down,ACTUAL
